ロケーション,敵派閥,変異
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
ウエストテック研究センター,ロボット,鋭い視線をPer増加
燃える鉱山,モールマイナー,サヴェージ・ストライクをアーマー貫通
アレンコ・製薬,スコーチ,スティングフロストを氷結・毒
バレー・ガレリア,ブラッドイーグル,グループ再生を回復
ワトガ・ハイスクール,スーパーミュータント,不安定を爆発
